method,N,dt_obs,seed,mean_forecast_rmse,mean_analysis_rmse,median_analysis_rmse,analysis_improvement,r_mae,r_corr,innovation_mean,innovation_variance
fixed,40,0.05,4,3.1965101320924454,3.1457314860134638,4.015201122151051,0.05077864607898164,0.44437628264621987,,-0.06890971896899516,15.161546209689595
adaptive,40,0.05,4,2.889674835826925,2.838803327711494,3.31483154021342,0.05087150811543095,0.4490673503747583,0.11965292011605237,-0.026526305704759702,13.153249910246869
oracle,40,0.05,4,2.9733709792311624,2.9241531542103556,3.7881651169875297,0.04921782502080685,0.0,0.9999999999999999,0.01700349427548486,13.724921182059633
fixed,40,0.1,4,4.002150566926992,3.873635518576885,4.215476555081602,0.12851504835010674,0.4428330901773417,,-0.09206055627840469,18.945110458844223
adaptive,40,0.1,4,2.7560147456479323,2.6503403781754384,2.7981768473192368,0.10567436747249381,0.459726025314434,0.14788985654865802,0.009776943835371133,12.437004393235908
oracle,40,0.1,4,3.7973421600087476,3.6729671041528285,4.274195846937481,0.12437505585591913,0.0,1.0,0.022828365246995715,18.3513569614999
fixed,40,0.2,4,3.668676515837397,3.3947839887380296,3.903609014012078,0.2738925270993673,0.4406408471566618,,0.07979141160486962,16.31213169651016
adaptive,40,0.2,4,3.554201626973456,3.292421106239757,4.104306825769556,0.2617805207336992,0.4261863904223345,0.224887087538306,0.04235252516671895,16.220114522259784
oracle,40,0.2,4,3.500876301137295,3.2442525491784364,3.9012188992722536,0.25662375195885856,0.0,0.9999999999999999,0.06266833813799463,15.643966927341326
fixed,10,0.05,5,4.623482934674595,4.594372435190131,4.89289113097101,0.02911049948446376,0.44437628264621987,,0.07921623600317318,23.619633433677357
adaptive,10,0.05,5,4.352871263334118,4.326417457503279,4.689081389313659,0.02645380583083856,0.4265419204457884,0.23671894272877206,-0.06152992431334518,21.537976934207993
oracle,10,0.05,5,4.222031791373946,4.197273661506275,4.440023618687508,0.024758129867671563,0.0,0.9999999999999999,0.0868184846161329,20.351514296889956
fixed,10,0.1,5,4.468527396294661,4.410200345602257,4.604888543883831,0.05832705069240429,0.4428330901773417,,-0.019440526781624685,21.969131200438802
adaptive,10,0.1,5,4.571747922080304,4.515966404801603,4.820818161168427,0.05578151727870129,0.4042621485876231,0.2808162372134995,0.04974905363273668,23.31402241223274
oracle,10,0.1,5,4.467371187275908,4.415531998508452,4.691263887867831,0.05183918876745608,0.0,1.0,0.027203426376578712,22.520244699506378
fixed,10,0.2,5,4.563959734451084,4.4422130823072,4.7797520164790575,0.1217466521438837,0.4406408471566618,,0.12608150898389048,23.158201987682318
adaptive,10,0.2,5,4.280283880047014,4.170943556891358,4.424885126991648,0.10934032315565556,0.399131102749616,0.3340970774833769,0.07977210714760193,20.940886322974148
oracle,10,0.2,5,4.53081724077321,4.409393771336209,4.730047654834913,0.12142346943700133,0.0,0.9999999999999999,-0.016026611636479626,23.35016912756441
fixed,20,0.05,5,4.214860813403792,4.1730999252115275,4.5288362202217955,0.041760888192264645,0.44437628264621987,,0.09413495415107007,20.306083880218463
adaptive,20,0.05,5,3.9437433389151266,3.904417310855987,4.42582808730556,0.03932602805913943,0.45152363668075346,0.09330895261082724,0.04967323102069332,18.933772974895067
oracle,20,0.05,5,4.191659968289664,4.147134247324203,4.572839011842239,0.04452572096546081,0.0,0.9999999999999999,-0.04388900097107216,20.818661378438136
fixed,20,0.1,5,4.025554782243022,3.9504455139039028,4.248803450254596,0.07510926833911924,0.4428330901773417,,0.09482036828081418,19.24306257661132
adaptive,20,0.1,5,4.195652380811923,4.10902575993456,4.78200708440009,0.08662662087736361,0.41778435448415113,0.29948908386774525,0.07943271796002797,20.86079300111327
oracle,20,0.1,5,4.139561045399257,4.046261413574487,4.568125827650364,0.0932996318247703,0.0,1.0,-0.008473982392480671,20.344425684802616
fixed,20,0.2,5,4.198734543996422,3.967440374295665,4.3544764552408575,0.2312941697007571,0.4406408471566618,,0.02361973282135015,20.35552052542378
adaptive,20,0.2,5,4.282682865467395,4.054202367065536,4.51109293979558,0.2284804984018587,0.46324384664662355,-0.004785800249135079,-0.058650484291324426,21.57175908868833
oracle,20,0.2,5,4.2099028063619555,4.026749860840953,4.557070856971848,0.18315294552100259,0.0,0.9999999999999999,-0.046200622974502274,21.23435820859788
fixed,40,0.05,5,3.683764090123196,3.6211882549880174,4.270169951820278,0.06257583513517861,0.44437628264621987,,-0.08521349557110143,17.62106900230269
adaptive,40,0.05,5,3.6861209309169665,3.6332614630218134,4.249087537509134,0.052859467895153056,0.4481252627729905,0.16075898922852705,0.01306188866363269,17.730608427134996
oracle,40,0.05,5,3.2490773458764224,3.192874045547201,4.034512720093559,0.056203300329221495,0.0,0.9999999999999999,-0.03837064720084301,14.586254123169201
fixed,40,0.1,5,3.8499023523441664,3.7395265396586086,4.090197960591199,0.11037581268555785,0.4428330901773417,,0.029332081477370237,18.28480281859329
adaptive,40,0.1,5,3.7331512150902877,3.604030559838477,4.125725920553461,0.1291206552518105,0.5223585288917665,-0.22118696486668804,-0.022306452265011902,17.67672760480768
oracle,40,0.1,5,3.066761515888916,2.944875535347493,3.647366655241791,0.12188598054142297,0.0,1.0,-0.05528541349351599,14.02101426079148
fixed,40,0.2,5,3.122031056987991,2.8476376743537832,3.6427043620528794,0.27439338263420776,0.4406408471566618,,-0.013352588935884787,14.027171095922194
adaptive,40,0.2,5,3.1121635132857897,2.8889911643290453,3.597927709670366,0.22317234895674432,0.42421127213582344,0.30290492190008744,0.013790107117087539,14.791396684898716
oracle,40,0.2,5,3.256723794864138,2.9810224148185847,3.5714281339257474,0.27570138004555345,0.0,0.9999999999999999,0.061980947497879496,14.020415540953744
